wordle_id,year,month,date,n_players,n_hard_mode,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_fail,answer
378,2022,7,2,41765,3515,0,3,14,33,33,15,2,egret
379,2022,7,3,40486,3461,0,2,17,38,29,12,1,lilac
380,2022,7,4,42645,3591,0,2,13,27,29,21,7,sever
381,2022,7,5,44578,3604,1,6,25,36,23,9,1,field
382,2022,7,6,47344,4049,0,0,4,25,44,23,4,fluff
383,2022,7,7,43407,3671,0,2,18,36,27,15,3,agape
384,2022,7,8,42806,3484,1,5,24,35,25,9,1,voice
385,2022,7,9,47094,3933,1,6,20,27,28,16,3,stead
386,2022,7,10,41785,3494,0,7,24,35,24,9,1,berth
387,2022,7,11,40545,3430,0,3,13,35,34,14,2,madam
388,2022,7,12,46910,3870,1,8,27,27,17,13,7,night
389,2022,7,13,46246,3727,0,7,31,38,18,4,0,bland
390,2022,7,14,40549,3388,0,4,16,26,25,20,8,liver
391,2022,7,15,39234,3353,0,2,11,32,37,17,2,wedge
392,2022,7,16,38769,3280,0,2,17,41,28,10,2,roomy
393,2022,7,17,39611,3345,0,3,18,39,27,10,2,wacky
394,2022,7,18,42574,3548,0,4,22,37,27,9,1,flock
395,2022,7,19,39667,3358,0,5,27,38,21,7,1,angry
396,2022,7,20,42237,3685,0,4,14,22,22,23,15,trite
397,2022,7,21,39086,3367,0,6,24,36,23,9,2,aphid
398,2022,7,22,43099,3665,0,3,26,41,23,6,1,tryst
399,2022,7,23,36769,3111,0,2,18,39,28,10,2,midge
400,2022,7,24,39813,3401,2,6,19,29,24,15,4,power
401,2022,7,25,39288,3339,0,4,22,32,26,13,2,elope
402,2022,7,26,39171,3507,0,2,15,24,22,25,13,cinch
403,2022,7,27,38284,3285,0,1,11,36,36,14,1,motto
404,2022,7,28,40650,3490,0,7,26,32,21,11,2,stomp
405,2022,7,29,37791,3213,0,5,30,38,20,6,1,upset
406,2022,7,30,37353,3171,0,2,14,42,31,10,1,bluff
407,2022,7,31,39250,3369,1,8,26,33,19,10,2,cramp
408,2022,8,1,36662,3303,0,5,20,33,27,13,2,quart
409,2022,8,2,34909,3380,0,0,4,17,28,35,15,coyly
410,2022,8,3,38381,3327,1,5,17,31,29,15,3,youth
411,2022,8,4,37229,3336,0,4,22,39,25,8,1,rhyme
412,2022,8,5,37350,3428,0,1,9,29,34,22,5,buggy
413,2022,8,6,38841,3395,3,17,31,29,15,4,0,alien
414,2022,8,7,37761,3411,1,9,20,26,24,16,4,smear
415,2022,8,8,35516,3187,0,3,24,38,25,9,1,unfit
416,2022,8,9,36223,3190,0,2,16,39,29,12,2,patty
417,2022,8,10,37654,3312,0,4,20,34,27,13,2,cling
418,2022,8,11,37301,3243,0,6,23,37,24,8,1,glean
